Code IRIS;Nom IRIS;Code Commune;Nom Commune;Taux de motorisation IRIS;Taux de motorisation Commune;Taux de motorisation Département
521510000;Cour-l'Évêque;52151;Cour-l'Évêque;0,95122;0,95122;0,840154
521550000;Culmont;52155;Culmont;0,912548;0,912548;0,840154
521560000;Curel;52156;Curel;0,845745;0,845745;0,840154
521570000;Curmont;52157;Curmont;1;1;0,840154
521580000;Cusey;52158;Cusey;0,915966;0,915966;0,840154
521870000;Épizon;52187;Épizon;0,902958;0,902958;0,840154
521890000;Le Val-d'Esnoms;52189;Le Val-d'Esnoms;0,920245;0,920245;0,840154
521900000;Esnouveaux;52190;Esnouveaux;0,871429;0,871429;0,840154
522330000;Guyonvelle;52233;Guyonvelle;0,833333;0,833333;0,840154
522220000;Gillaumé;52222;Gillaumé;1;1;0,840154
522230000;Gilley;52223;Gilley;0,9;0,9;0,840154
522250000;Goncourt;52225;Goncourt;0,868852;0,868852;0,840154
522270000;Graffigny-Chemin;52227;Graffigny-Chemin;0,87619;0,87619;0,840154
522280000;Grandchamp;52228;Grandchamp;0,90625;0,90625;0,840154
