code_commune,ville,departement,region,nb_logements,nb_appartements,lots_stat_copro,places_publiques,copros_sans_stat,menages_motorises,menages_avec_parking,ratio_stat_par_logement,pct_motorises_sans_parking,profil_stationnement,index_partageabilite
56098,Lanester,56098,56098,11724,5050,30,0,1,8986,7065,0.003,17.8,🔴 Forte tension — priorité demande,4.9
72095,72095,72095,72095,3557,2030,23,0,0,2463,1734,0.006,21.6,🔴 Forte tension — priorité demande,4.7
69092,Gleizé,69092,69092,3532,1607,27,0,0,2848,2251,0.008,18.5,🔴 Forte tension — priorité demande,4.6
71076,Chalon-sur-Saône,71076,71076,27766,23618,13,0,1,18264,9013,0.0,37.7,🔴 Forte tension — priorité demande,4.3
54482,Saint-Max,54482,54482,5674,4022,27,0,0,4071,3203,0.005,16.7,🔴 Forte tension — priorité demande,4.1
54431,Pont-à-Mousson,54431,54431,7492,4168,12,0,4,5181,3309,0.002,29.0,🔴 Forte tension — priorité demande,3.0
58194,58194,58194,58194,22074,14694,16,0,3,13269,9641,0.001,20.3,🔴 Forte tension — priorité demande,2.6
97418,97418,97418,97418,14673,4715,87,0,0,10459,10102,0.006,2.7,🔴 Forte tension — priorité demande,2.1
59122,59122,59122,59122,18251,8291,10,0,0,11659,8209,0.001,21.4,🔴 Forte tension — priorité demande,1.9
97209,97209,97209,97209,47866,27478,12,0,1,25169,20069,0.0,13.7,🔴 Forte tension — priorité demande,1.3
57332,Hombourg-Haut,57332,57332,3230,1789,6,0,0,2294,1717,0.002,21.1,🔴 Forte tension — priorité demande,1.1
67437,Saverne,67437,67437,6436,4268,20,0,1,4473,4136,0.003,6.1,🔴 Forte tension — priorité demande,1.0
97302,97302,97302,97302,29121,18356,7,0,1,13725,9632,0.0,16.6,🔴 Forte tension — priorité demande,1.0
63430,Thiers,63430,63430,7389,3126,6,0,3,4543,3404,0.001,20.4,🔴 Forte tension — priorité demande,0.9
